#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET NPOINTS  101
#! SET LAG_TIME  1.240000e+00
#! SET NORMALIZATION  2.813528e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.666265e-01 -3.232854e-01 1.127462e-02
ROW1_psi1 -3.205304e-01 4.261758e-01 -2.078730e-02
ROW2_theta1 1.037135e-02 -1.886987e-02 6.481561e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.280000e+00
#! SET NORMALIZATION  2.813488e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.626169e-01 -3.191939e-01 1.116689e-02
ROW1_psi1 -3.156143e-01 4.189043e-01 -2.057049e-02
ROW2_theta1 1.028206e-02 -1.830855e-02 6.112639e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.320000e+00
#! SET NORMALIZATION  2.813448e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.587179e-01 -3.145657e-01 1.102370e-02
ROW1_psi1 -3.109375e-01 4.117253e-01 -2.023752e-02
ROW2_theta1 1.014883e-02 -1.776228e-02 5.790863e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.360000e+00
#! SET NORMALIZATION  2.813408e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.547868e-01 -3.098691e-01 1.095323e-02
ROW1_psi1 -3.063992e-01 4.047055e-01 -1.973500e-02
ROW2_theta1 9.943527e-03 -1.732758e-02 5.464198e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.400000e+00
#! SET NORMALIZATION  2.813368e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.507385e-01 -3.053985e-01 1.089575e-02
ROW1_psi1 -3.018537e-01 3.979507e-01 -1.907691e-02
ROW2_theta1 9.822497e-03 -1.694759e-02 5.130933e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.440000e+00
#! SET NORMALIZATION  2.813328e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.469632e-01 -3.009563e-01 1.083853e-02
ROW1_psi1 -2.977718e-01 3.915693e-01 -1.849290e-02
ROW2_theta1 9.683052e-03 -1.669751e-02 4.816888e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.480000e+00
#! SET NORMALIZATION  2.813288e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.432026e-01 -2.964616e-01 1.071702e-02
ROW1_psi1 -2.933762e-01 3.844515e-01 -1.792524e-02
ROW2_theta1 9.577288e-03 -1.641288e-02 4.541344e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.520000e+00
#! SET NORMALIZATION  2.813248e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.395184e-01 -2.918872e-01 1.060917e-02
ROW1_psi1 -2.891372e-01 3.773102e-01 -1.728817e-02
ROW2_theta1 9.476875e-03 -1.599738e-02 4.275366e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.560000e+00
#! SET NORMALIZATION  2.813208e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.357687e-01 -2.869554e-01 1.051629e-02
ROW1_psi1 -2.851794e-01 3.705243e-01 -1.677399e-02
ROW2_theta1 9.369109e-03 -1.553582e-02 4.006659e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.600000e+00
#! SET NORMALIZATION  2.813168e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.320723e-01 -2.821514e-01 1.038638e-02
ROW1_psi1 -2.810834e-01 3.645094e-01 -1.644540e-02
ROW2_theta1 9.196406e-03 -1.518495e-02 3.776310e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.640000e+00
#! SET NORMALIZATION  2.813128e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.286045e-01 -2.778261e-01 1.029572e-02
ROW1_psi1 -2.769817e-01 3.583257e-01 -1.592636e-02
ROW2_theta1 9.022497e-03 -1.484259e-02 3.548713e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.680000e+00
#! SET NORMALIZATION  2.813088e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.251007e-01 -2.737969e-01 1.017837e-02
ROW1_psi1 -2.731184e-01 3.522000e-01 -1.529802e-02
ROW2_theta1 8.868176e-03 -1.438076e-02 3.330881e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
